0,1,2,3,4,5,/workspace/dongweiw/models/DeepSeekR1/Distill-Qwen-7B_correct,/workspace/dongweiw/models/DeepSeekR1/Distill-Qwen-7B_choiceA_probs,/workspace/dongweiw/models/DeepSeekR1/Distill-Qwen-7B_choiceB_probs,/workspace/dongweiw/models/DeepSeekR1/Distill-Qwen-7B_choiceC_probs,/workspace/dongweiw/models/DeepSeekR1/Distill-Qwen-7B_choiceD_probs
In a Robertsonian translocation fusion occurs at the:,telomeres.,centromeres.,histones.,ends of the long arms.,B,False,0.11643201,0.02587821,0.19805753,0.65963227
Zinc finger proteins and helix-turn-helix proteins are,types of DNA-binding proteins,involved in the control of translation,components of ribosomes,part of the hemoglobin in blood cells,A,True,0.700603,0.16511281,0.11892629,0.015357883
"If the frequency of males affected with an X-linked recessive condition in a human population is .10 (one in ten), what will be the expected frequency of affected females?",0.01,0.001,0.02,0.0001,A,True,0.75490767,0.10790843,0.11576884,0.021415083
In DNA adenine normally pairs with:,cytosine.,guanine.,thymine.,uracil.,C,False,0.6073106,0.05063613,0.2868732,0.05518013
The pattern of inheritance shown by malignant hyperthermia (hyperpyrexia) is:,autosomal dominant.,autosomal recessive.,X-linked dominant.,X-linked recessive.,A,True,0.5905707,0.157713,0.21057446,0.04114189
Mapping of human chromosomes:,has been restricted to the sex chromosomes because of small family sizes,proceeded much more successfully as large numbers of DNA markers became available.,has determined that the number of linkage groups is about twice the number of chromosomes,has demonstrated that almost all of the DNA is involved in coding for genes,B,True,0.011185294,0.97589,0.005646332,0.00727841
Intergenerational transmission to offspring can occur as a result of parental exposures to ______.,war,natural disasters,hunger,all of these,D,True,0.13080396,0.012071981,0.26630363,0.59082043
Asp235Phe in a molecular report indicates that:,asparagine has been replaced by phenylalanine.,phenylalanine has been replaced by asparagine.,aspartic acid has been replaced by phenylalanine.,phenylalanine has been replaced by aspartic acid.,C,False,0.5123369,0.09551611,0.2988435,0.09330348
The risk of abnormality in the child of a mother with untreated phenylketonuria is:,1%,10%,25%,Almost 100%,D,True,0.15692025,0.047116,0.3454335,0.45053023
Exon skipping is associated with:,nonsense mutations.,regulatory mutations.,RNA processing mutations.,silent mutations.,C,True,0.027956754,0.056034707,0.9043544,0.011654109
Which of the following is not a chromosome instability syndrome?,Klinefelter syndrome,Ataxia telangiectasia,Fanconi anaemia,Bloom syndrome,A,False,0.15784402,0.062297415,0.099550985,0.6803075
Normal adult haemoglobin (Hb A) consists of:,two α (alpha) and two β (beta) chains.,two α and two γ (gamma) chains.,two α and two δ (delta) chains.,four γ chains.,A,True,0.5661383,0.1293182,0.28690493,0.017638579
In a condition such as schizophrenia the recurrence risk will be greatest for which of the following relatives of an affected individual?,Brother,Nephew,Grandchild,Aunt,A,False,0.15723075,0.16095936,0.5841831,0.09762679
The mutation in sickle-cell disease consists of:,a deletion.,a duplication.,an insertion.,a point mutation.,D,True,0.11608004,0.013755894,0.14788981,0.72227424
