0,1,2,3,4,5,/workspace/dongweiw/models/LLaMA/LLaMA-2-7b_correct,/workspace/dongweiw/models/LLaMA/LLaMA-2-7b_choiceA_probs,/workspace/dongweiw/models/LLaMA/LLaMA-2-7b_choiceB_probs,/workspace/dongweiw/models/LLaMA/LLaMA-2-7b_choiceC_probs,/workspace/dongweiw/models/LLaMA/LLaMA-2-7b_choiceD_probs
What is the term for a sub-optimal but acceptable outcome of negotiations between parties?,Bargaining,Satisficing,Accepting,Compromising,B,True,0.31688672,0.61081517,0.040922064,0.031376038
What is the term for the 'rule of thumb' type of bias in decision making?,Framing bias,Hindsight bias,Over-confidence bias,Heuristics,D,False,0.05132963,0.16312523,0.66047263,0.12507245
What is a normative perspective?,The way things are.,The way things are going to be.,The way things should be.,The way things were.,C,True,0.08855632,0.20589961,0.6442029,0.06134117
"In the 'five forces model', what is the type of competitive activity that exists between organisations?",The potential for entry into the industry,The threat of substitute products,The power of customers,The level of rivalry,D,True,0.020697275,0.15778796,0.044855203,0.77665955
Which one of the following political leaders could not be termed a 'transformational' leader?,Margaret Thatcher,Mikhail Gorbachov,Nelson Mandela,Bill Clinton,D,False,0.3091393,0.28590712,0.15066247,0.25429106
What is a Gantt chart a type of?,Work flow design,Work schedule design,Work rate design,Work output design,B,True,0.21837825,0.750398,0.0230169,0.008206928
Which one of the following is a feature of McGregor's Theory X?,Workers enjoy responsibility.,Workers view physical and mental effort as a natural part of work.,Workers like to show initiative.,Workers like to be directed.,D,True,0.14217998,0.32040757,0.085565425,0.45184708
What is the term for power derived from status or position in an organisation?,Referent,Expert,Reward,Legitimate,D,False,0.44129518,0.45887437,0.0606633,0.039167173
Which writer is most associated with bureaucratic structures?,Henry Fayol,Max Weber,Adam Smith,Mary Parker Follett,B,True,0.00900668,0.985628,0.0041559003,0.0012094359
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B,False,0.3311469,0.32095858,0.24038686,0.10750765
Individualism as a guiding moral philosophy was advocated by which economist?,John Kenneth Galbraith,John Maynard Keynes,Milton Friedman,Alfred Marshall,C,True,0.11990914,0.31346,0.48549634,0.08113457
The Hawthorn Studies are most associated with which writer?,Mary Parker Follett,Elton Mayo,Lillian Gilbreth,Frederick Taylor,B,True,0.009219356,0.9778611,0.009076422,0.0038431992
How can you describe the thinking and outlook of transformational leaders?,Strategic,Operational,Functional,Developmental,A,False,0.03555324,0.07645149,0.039973583,0.84802175
What are the key characteristics of transactional leaders?,"Guiding, mentoring and motivating","Guiding, commanding and motivating","Guiding, demonstrating and motivating","Guiding, mentoring and demonstrating",A,True,0.675531,0.1579651,0.08455262,0.081951216
What is not an assumption underpinning the rational decision making model?,Incomplete information,An agreed goal,A structured problem,High level of certainty regarding the environment,A,True,0.3202791,0.22185084,0.18392082,0.2739492
Which one of the following is not one of Drucker's five guiding principles of management?,Making people's strengths effective and their weaknesses irrelevant.,Enhancing the ability of people to contribute.,To operate the organisation's status system.,"Integrating people in a common venture by thinking through, setting and exemplifying the organisational objectives, values and goals.",C,False,0.23398462,0.20974246,0.2414121,0.31486073
